Race Name,Athlete Name,Time
Tokyo Marathon,05 MAR 2023,Shusei OHASHI,2:28:34
Tokyo Marathon,05 MAR 2023,Cheuk Hei WAN,2:28:41
Tokyo Marathon,05 MAR 2023,Chris RANCIE,2:28:48
Tokyo Marathon,05 MAR 2023,Toshiya OKUBO,2:28:50
Tokyo Marathon,05 MAR 2023,Furuya YOSHIHIRO,2:28:55
Tokyo Marathon,05 MAR 2023,Namba KAI,2:28:56
Tokyo Marathon,05 MAR 2023,Hisashi YUKIMOTO,2:29:11
Tokyo Marathon,05 MAR 2023,Jordan ANDERSEN,2:29:23
Tokyo Marathon,05 MAR 2023,Tomohiro KAIJO,2:29:26
Tokyo Marathon,05 MAR 2023,Yasutaka MONDE,2:29:26
Tokyo Marathon,05 MAR 2023,Ken RIDEOUT,2:29:26
Tokyo Marathon,05 MAR 2023,Hiroki MIYABE,2:29:27
Tokyo Marathon,05 MAR 2023,Shoki TAMAMURA,2:29:28
Tokyo Marathon,05 MAR 2023,Kok Wai TSE,2:29:29
Tokyo Marathon,05 MAR 2023,Fujiwara TOMOKAZU,2:29:30
Tokyo Marathon,05 MAR 2023,Yuho TANAKA,2:29:32
Tokyo Marathon,05 MAR 2023,Ippei IZAWA,2:29:32
Tokyo Marathon,05 MAR 2023,Yoshiyuki HAYASHI,2:29:39
Tokyo Marathon,05 MAR 2023,Goto KAZUKI,2:29:44
Tokyo Marathon,05 MAR 2023,Manabu FUJITA,2:29:49
Tokyo Marathon,05 MAR 2023,Benjamin FRANKE,2:29:50
Tokyo Marathon,05 MAR 2023,Takurou AOYAMA,2:29:52
Tokyo Marathon,05 MAR 2023,Fujioka KEI,2:29:55
Tokyo Marathon,05 MAR 2023,Hayashi TAICHI,2:30:09
Tokyo Marathon,05 MAR 2023,Tetsuya KOTANI,2:30:13
Tokyo Marathon,05 MAR 2023,Cheng-Hsuan TSAI,2:30:14
Tokyo Marathon,05 MAR 2023,Kensuke ITOU,2:30:16
Tokyo Marathon,05 MAR 2023,Hiroki SUGAWA,2:30:20
Tokyo Marathon,05 MAR 2023,Sho MIURA,2:30:29
Tokyo Marathon,05 MAR 2023,Yamada MIZUHO,2:30:30
Tokyo Marathon,05 MAR 2023,Honjo KURAMA,2:30:37
Tokyo Marathon,05 MAR 2023,Koji SAKIMOTO,2:30:38
Tokyo Marathon,05 MAR 2023,Takaya MITSUKA,2:30:47
Tokyo Marathon,05 MAR 2023,Mohamad MUHAIZAR,2:30:47
Tokyo Marathon,05 MAR 2023,Brandon ABASOLO,2:30:49
Tokyo Marathon,05 MAR 2023,Manuel AGUDELO,2:30:50
Tokyo Marathon,05 MAR 2023,Takahiro OGINO,2:31:00
Tokyo Marathon,05 MAR 2023,Mano KENTARO,2:31:01
Tokyo Marathon,05 MAR 2023,Yuya FUKAURA,2:31:02
Tokyo Marathon,05 MAR 2023,Yajima KAZUKI,2:31:04
Tokyo Marathon,05 MAR 2023,Tsubasa TAKAHARA,2:31:20
Tokyo Marathon,05 MAR 2023,Mohammed EL YAMANI,2:31:23
Tokyo Marathon,05 MAR 2023,Daniel ALEXANDER,2:31:26
Tokyo Marathon,05 MAR 2023,Junji KAWANISHI,2:31:39
Tokyo Marathon,05 MAR 2023,Fumio SHIMURA,2:31:45
Tokyo Marathon,05 MAR 2023,David HUDSON,2:31:48
Tokyo Marathon,05 MAR 2023,Jordan MADDOCKS,2:31:50
Tokyo Marathon,05 MAR 2023,Joao Marcelo AVELAR,2:31:50
Tokyo Marathon,05 MAR 2023,Shota SATO,2:31:59
Tokyo Marathon,05 MAR 2023,Kazunari TOMITAKA,2:32:00
Tokyo Marathon,05 MAR 2023,Yuichi KATAYAMA,2:32:00
Tokyo Marathon,05 MAR 2023,Honami KEITO,2:32:04
Tokyo Marathon,05 MAR 2023,Toshiaki KOBAYASHI,2:32:06
Tokyo Marathon,05 MAR 2023,Zach DOMBI,2:32:07
Tokyo Marathon,05 MAR 2023,Ryo UTSUKI,2:32:08
Tokyo Marathon,05 MAR 2023,Umahasi YOUTA,2:32:09
Tokyo Marathon,05 MAR 2023,Kenta ODA,2:32:13
Tokyo Marathon,05 MAR 2023,Stefano FINAZZI,2:32:20
Tokyo Marathon,05 MAR 2023,Mukai KOJI,2:32:40
Tokyo Marathon,05 MAR 2023,Yoshikazu TANABE,2:32:46
Tokyo Marathon,05 MAR 2023,Katsumi NAKATA,2:32:47
Tokyo Marathon,05 MAR 2023,Ryotaro SUZUKI,2:32:47
Tokyo Marathon,05 MAR 2023,Kensuke SUZUKI,2:32:51
Tokyo Marathon,05 MAR 2023,Masafumi MIYAMOTO,2:32:53
Tokyo Marathon,05 MAR 2023,Donal COAKLEY,2:32:54
Tokyo Marathon,05 MAR 2023,David MORRIS,2:32:54
Tokyo Marathon,05 MAR 2023,Keita SHIMAZAKI,2:32:56
Tokyo Marathon,05 MAR 2023,Takahashi RYOTA,2:32:56
Tokyo Marathon,05 MAR 2023,Glenn VANOBOST,2:32:57
Tokyo Marathon,05 MAR 2023,Norihiro UNO,2:32:59
Tokyo Marathon,05 MAR 2023,Yoshiyuki YAMASHITA,2:33:06
Tokyo Marathon,05 MAR 2023,Shimizu KEIICHI,2:33:10
Tokyo Marathon,05 MAR 2023,Yagishi KEIGO,2:33:12
Tokyo Marathon,05 MAR 2023,Michihiro NAKAJIMA,2:33:13
Tokyo Marathon,05 MAR 2023,Fukazawa HIROSHI,2:33:18
Tokyo Marathon,05 MAR 2023,Masataka ITO,2:33:21
Tokyo Marathon,05 MAR 2023,Horiuchi SYOUTA,2:33:30
Tokyo Marathon,05 MAR 2023,Ho YEUNG,2:33:31
Tokyo Marathon,05 MAR 2023,Hagiwara HISAYA,2:33:34
Tokyo Marathon,05 MAR 2023,Kenichi KAWAI,2:33:39
Tokyo Marathon,05 MAR 2023,Mizuki SHIRADO,2:33:56
Tokyo Marathon,05 MAR 2023,Hitoshi YOSHIMURA,2:33:59
Tokyo Marathon,05 MAR 2023,Kaito NAGAOKA,2:34:00
Tokyo Marathon,05 MAR 2023,James DWYER,2:34:08
Tokyo Marathon,05 MAR 2023,Yuto CHIDA,2:34:09
Tokyo Marathon,05 MAR 2023,Jay THOMSON,2:34:13
Tokyo Marathon,05 MAR 2023,Suda YOSHIYUKI,2:34:15
Tokyo Marathon,05 MAR 2023,Amano TATSUKI,2:34:16
Tokyo Marathon,05 MAR 2023,Amit FEIN,2:34:16
Tokyo Marathon,05 MAR 2023,Jeremy RYAN,2:34:16
Tokyo Marathon,05 MAR 2023,Junya YAMAZAKI,2:34:17
Tokyo Marathon,05 MAR 2023,Takayuki NAGAE,2:34:19
Tokyo Marathon,05 MAR 2023,Akira SAKAGUCHI,2:34:23
Tokyo Marathon,05 MAR 2023,Sugihara KEI,2:34:24
Tokyo Marathon,05 MAR 2023,Yuukichi TSUTSUI,2:34:25
Tokyo Marathon,05 MAR 2023,Daisuke HORIAI,2:34:26
Tokyo Marathon,05 MAR 2023,Funakoshi YUSUKE,2:34:26
Tokyo Marathon,05 MAR 2023,Takatoshi SATO,2:34:28
Tokyo Marathon,05 MAR 2023,John SPELLMAN,2:34:34
Tokyo Marathon,05 MAR 2023,Hiroyuki TAKASAWA,2:34:34
Tokyo Marathon,05 MAR 2023,Satoru FUKATANI,2:34:40
Tokyo Marathon,05 MAR 2023,Nakamizu YU,2:34:42
Tokyo Marathon,05 MAR 2023,Satoru CHIBA,2:34:43
Tokyo Marathon,05 MAR 2023,Recio ALVAREZ,2:34:44
Tokyo Marathon,05 MAR 2023,Shouta MIYAKE,2:34:48
Tokyo Marathon,05 MAR 2023,Yusuke MOMIYAMA,2:34:49
Tokyo Marathon,05 MAR 2023,Michihiro ISOMATSU,2:34:51
Tokyo Marathon,05 MAR 2023,Shohei YOSHIDA,2:34:51
Tokyo Marathon,05 MAR 2023,Sasho BOGOJEVSKI,2:34:52
Tokyo Marathon,05 MAR 2023,Yuta KOBAYASHI,2:34:53
Tokyo Marathon,05 MAR 2023,Keisuke MATSUMOTO,2:34:58
Tokyo Marathon,05 MAR 2023,Tomoya OTA,2:34:58
Tokyo Marathon,05 MAR 2023,Simon LEWIS,2:35:00
Tokyo Marathon,05 MAR 2023,Ohyama TSUBASA,2:35:00
Tokyo Marathon,05 MAR 2023,Kazuki NAGAI,2:35:08
Tokyo Marathon,05 MAR 2023,Sugiyama RIKU,2:35:09
Tokyo Marathon,05 MAR 2023,Philippe ROLLY,2:35:09
Tokyo Marathon,05 MAR 2023,Robert JONGH,2:35:11
Tokyo Marathon,05 MAR 2023,Takashi KONO,2:35:13
Tokyo Marathon,05 MAR 2023,Ogawa KEISUKE,2:35:16
Tokyo Marathon,05 MAR 2023,Matsui RYOTA,2:35:28
Tokyo Marathon,05 MAR 2023,Kokuho SHO,2:35:28
Tokyo Marathon,05 MAR 2023,King FUNG,2:35:29
Tokyo Marathon,05 MAR 2023,Baba ATSUSHI,2:35:29
Tokyo Marathon,05 MAR 2023,Takehisha FUJIWARA,2:35:34
Tokyo Marathon,05 MAR 2023,Che-Hao CHANG,2:35:35
Tokyo Marathon,05 MAR 2023,Wing CHEONG,2:35:35
Tokyo Marathon,05 MAR 2023,Ushiroguchi HIROSHI,2:35:39
Tokyo Marathon,05 MAR 2023,Yoshiki KOIZUMI,2:35:41
Tokyo Marathon,05 MAR 2023,Kazuma SAHARA,2:35:49
Tokyo Marathon,05 MAR 2023,Thomas MACKAY,2:35:55
Tokyo Marathon,05 MAR 2023,Kodai TOYOTA,2:35:57
Tokyo Marathon,05 MAR 2023,Kajiro TAKEHIRO,2:36:00
Tokyo Marathon,05 MAR 2023,Masaki MARUOKA,2:36:02
Tokyo Marathon,05 MAR 2023,Marcos EITI,2:36:04
Tokyo Marathon,05 MAR 2023,Taishi EBINUMA,2:36:05
Tokyo Marathon,05 MAR 2023,Michael CASTELLANI,2:36:07
Tokyo Marathon,05 MAR 2023,Allan CHRISTIE,2:36:07
Tokyo Marathon,05 MAR 2023,Akifumi NIIDA,2:36:08
Tokyo Marathon,05 MAR 2023,Arai SHOHEI,2:36:08
Tokyo Marathon,05 MAR 2023,Yamamoto KENTARO,2:36:09
Tokyo Marathon,05 MAR 2023,Ishimaru HARUTAKA,2:36:09
Tokyo Marathon,05 MAR 2023,Suwa TAKAHIRO,2:36:18
Tokyo Marathon,05 MAR 2023,Shinde KOHEI,2:36:24
Tokyo Marathon,05 MAR 2023,Stephan ROMITA,2:36:28
Tokyo Marathon,05 MAR 2023,Mori YUKIHIKO,2:36:29
Tokyo Marathon,05 MAR 2023,Nobuhiko HIRAKAWA,2:36:30
Tokyo Marathon,05 MAR 2023,Kamitakahara MITSURU,2:36:32
Tokyo Marathon,05 MAR 2023,Ishioka KOKI,2:36:32
Tokyo Marathon,05 MAR 2023,Aniceto HUERTAS,2:36:34
Tokyo Marathon,05 MAR 2023,Hirano JUNYA,2:36:36
Tokyo Marathon,05 MAR 2023,Yung COHEN,2:36:37
Tokyo Marathon,05 MAR 2023,Mitsuo YODA,2:36:40
Tokyo Marathon,05 MAR 2023,Yasushi ABE,2:36:42
Tokyo Marathon,05 MAR 2023,Javier SATO,2:36:48
Tokyo Marathon,05 MAR 2023,Yuya IDESAWA,2:36:54
Tokyo Marathon,05 MAR 2023,Suguru EMOTO,2:36:57
Tokyo Marathon,05 MAR 2023,Benard KIMELI,DNF
Tokyo Marathon,05 MAR 2023,Ryu TAKAKU,DNF
Tokyo Marathon,05 MAR 2023,Yuta SHITARA,DNF
Tokyo Marathon,05 MAR 2023,Benjamin NGANDU,DNF
Tokyo Marathon,05 MAR 2023,Mohamed Reda EL AARABY,DNF
Tokyo Marathon,05 MAR 2023,Sisay LEMMA,DNF
Tokyo Marathon,05 MAR 2023,Mike Kiptum BOIT,DNF
Tokyo Marathon,05 MAR 2023,Josphat Ledama KISAISA,DNF
Tokyo Marathon,05 MAR 2023,Amos KURGAT,DNF
Osaka Women's Marathon,29 JAN 2023,Haven Hailu DESSE,2:21:13
Osaka Women's Marathon,29 JAN 2023,Sisay Meseret GOLA,2:22:12
Osaka Women's Marathon,29 JAN 2023,Yuka ANDO,2:22:59
Osaka Women's Marathon,29 JAN 2023,Mao UESUGI,2:25:18
Osaka Women's Marathon,29 JAN 2023,Yumi YOSHIKAWA,2:25:20
Osaka Women's Marathon,29 JAN 2023,Sairi MAEDA,2:25:24
Osaka Women's Marathon,29 JAN 2023,Chiharu SUZUKI,2:25:59
Osaka Women's Marathon,29 JAN 2023,Yuna DAITO,2:26:09
Osaka Women's Marathon,29 JAN 2023,Kaena TAKEYAMA,2:29:20
Osaka Women's Marathon,29 JAN 2023,Honoka TANAIKE,2:29:45
Osaka Women's Marathon,29 JAN 2023,Alice WRIGHT,2:29:50
Osaka Women's Marathon,29 JAN 2023,Sakiho TSUTSUI,2:32:04
Osaka Women's Marathon,29 JAN 2023,Mao KIYOTA,2:33:01
Osaka Women's Marathon,29 JAN 2023,Nana SATO,2:33:32
Osaka Women's Marathon,29 JAN 2023,Anna MATSUDA,2:34:33
Osaka Women's Marathon,29 JAN 2023,Momoko YAO,2:34:48
Osaka Women's Marathon,29 JAN 2023,Kate MASON,2:35:15
Osaka Women's Marathon,29 JAN 2023,Erika OUMI,2:35:27
Osaka Women's Marathon,29 JAN 2023,Yui OKADA,2:36:10
Osaka Women's Marathon,29 JAN 2023,Hanami KOGA,2:36:40
Osaka Women's Marathon,29 JAN 2023,Kana KOBAYASHI,2:36:54
Osaka Women's Marathon,29 JAN 2023,Risper GESABWA,2:37:56
Osaka Women's Marathon,29 JAN 2023,Eriko OTSUKA,2:38:51
Osaka Women's Marathon,29 JAN 2023,Yukie MATSUMURA,2:39:02
Osaka Women's Marathon,29 JAN 2023,Shiho KANESHIGE,2:39:12
Osaka Women's Marathon,29 JAN 2023,Mai FUJISAWA,2:41:22
Osaka Women's Marathon,29 JAN 2023,Chizuru OI,2:42:30
Osaka Women's Marathon,29 JAN 2023,Kasumi NISHIHARA,2:42:56
Osaka Women's Marathon,29 JAN 2023,Nagisa GODA,2:44:31
Osaka Women's Marathon,29 JAN 2023,Meari OOBUCHI,2:44:56
Osaka Women's Marathon,29 JAN 2023,Mitsuko INO,2:46:10
Osaka Women's Marathon,29 JAN 2023,Natsumi KURODA,2:46:15
Osaka Women's Marathon,29 JAN 2023,Miho NAKATA,2:46:20
Osaka Women's Marathon,29 JAN 2023,Eri SUZUKI,2:46:49
Osaka Women's Marathon,29 JAN 2023,Natsuki TOMII,2:47:01
Osaka Women's Marathon,29 JAN 2023,Yuka AOYAMA,2:47:07
Osaka Women's Marathon,29 JAN 2023,Yoshimi TANAKA,2:47:40
Osaka Women's Marathon,29 JAN 2023,Fuka HIROKAWA,2:47:41
Osaka Women's Marathon,29 JAN 2023,Maiko TANI,2:48:30
Osaka Women's Marathon,29 JAN 2023,Yuna NAKAYAMA,2:48:45
Osaka Women's Marathon,29 JAN 2023,Ayumi SANO,2:48:55
Osaka Women's Marathon,29 JAN 2023,Sakika ENDO,2:49:11
Osaka Women's Marathon,29 JAN 2023,Tomomi NAKAJIMA,2:49:12
Osaka Women's Marathon,29 JAN 2023,Ayumi YOKOTA,2:49:23
Osaka Women's Marathon,29 JAN 2023,Mikiko OTA,2:49:32
Osaka Women's Marathon,29 JAN 2023,Tomomi SAWAHATA,2:49:36
Osaka Women's Marathon,29 JAN 2023,Mari YONEKURA,2:49:37
Osaka Women's Marathon,29 JAN 2023,Aya KAWAMURA,2:49:38
Osaka Women's Marathon,29 JAN 2023,Yoko SHICHIDA,2:49:41
Osaka Women's Marathon,29 JAN 2023,Yuri TANAKA,2:49:49
Osaka Women's Marathon,29 JAN 2023,Miyu MORIUCHI,2:50:20
Osaka Women's Marathon,29 JAN 2023,Makiko MISHIMA,2:50:28
Osaka Women's Marathon,29 JAN 2023,Mayumi SAKAGAWA,2:50:30
Osaka Women's Marathon,29 JAN 2023,Yuki MIZUSEDA,2:51:01
Osaka Women's Marathon,29 JAN 2023,Yuma NARASAKI,2:51:03
Osaka Women's Marathon,29 JAN 2023,Yuka ADACHI,2:51:11
Osaka Women's Marathon,29 JAN 2023,Sayaka YASUKAWA,2:51:26
Osaka Women's Marathon,29 JAN 2023,Sayaka MURATA,2:51:29
Osaka Women's Marathon,29 JAN 2023,Risako ATSUMI,2:51:50
Osaka Women's Marathon,29 JAN 2023,Risa SHINOZAKI,2:51:57
Osaka Women's Marathon,29 JAN 2023,Masa SHIMIZU,2:52:05
Osaka Women's Marathon,29 JAN 2023,Nami SUGOCHI,2:52:05
Osaka Women's Marathon,29 JAN 2023,Ruriko OZAWA,2:52:09
Osaka Women's Marathon,29 JAN 2023,Mio KOYANAGI,2:52:11
Osaka Women's Marathon,29 JAN 2023,Chiho MAGOME,2:52:12
Osaka Women's Marathon,29 JAN 2023,TAKAHASHI MAKI,2:52:14
Osaka Women's Marathon,29 JAN 2023,Yuki KOGA,2:52:52
Osaka Women's Marathon,29 JAN 2023,Kana MASUDA,2:52:55
Osaka Women's Marathon,29 JAN 2023,Yurino YOKOYAMA,2:53:20
Osaka Women's Marathon,29 JAN 2023,Kasumi TAKAHAMA,2:53:23
Osaka Women's Marathon,29 JAN 2023,Yurina KAWASAKI,2:53:49
Osaka Women's Marathon,29 JAN 2023,Moeno KUROSAKI,2:53:54
Osaka Women's Marathon,29 JAN 2023,Kyoko SAHASHI,2:53:58
Osaka Women's Marathon,29 JAN 2023,Arisa TAGUCHI,2:54:19
Osaka Women's Marathon,29 JAN 2023,Mai ARIZUKA,2:54:19
Osaka Women's Marathon,29 JAN 2023,Yoshimi TSUTSUMOTO,2:54:26
Osaka Women's Marathon,29 JAN 2023,Mayumi YOSHIKAWA,2:54:33
Osaka Women's Marathon,29 JAN 2023,TANAKA YOSHIMI,2:54:33
Osaka Women's Marathon,29 JAN 2023,Mitsue TOMITA,2:54:36
Osaka Women's Marathon,29 JAN 2023,Yuka HAGIWARA,2:55:11
Osaka Women's Marathon,29 JAN 2023,Chika UENO,2:55:19
Osaka Women's Marathon,29 JAN 2023,Yui ISOGAI,2:55:27
Osaka Women's Marathon,29 JAN 2023,Naoko HORIKI,2:55:34
Osaka Women's Marathon,29 JAN 2023,Mie TAKAMI,2:55:51
Osaka Women's Marathon,29 JAN 2023,Misaki AOI,2:55:55
Osaka Women's Marathon,29 JAN 2023,Kanako MIYANO,2:56:01
Osaka Women's Marathon,29 JAN 2023,Taeko OKAZAKI,2:56:01
Osaka Women's Marathon,29 JAN 2023,Tomomi OKUNO,2:56:04
Osaka Women's Marathon,29 JAN 2023,Airi SAWADA,2:56:16
Osaka Women's Marathon,29 JAN 2023,Miwa FUMIMURA,2:56:19
Osaka Women's Marathon,29 JAN 2023,Yoko KOMAGATA,2:56:25
Osaka Women's Marathon,29 JAN 2023,Ayumi SANO,2:56:31
Osaka Women's Marathon,29 JAN 2023,Mai FUKUSHIMA,2:56:41
Osaka Women's Marathon,29 JAN 2023,Kana TAKAHASHI,2:56:46
Osaka Women's Marathon,29 JAN 2023,Kaori TAKEICHI,2:56:50
Osaka Women's Marathon,29 JAN 2023,Mayo YAMAUCHI,2:56:55
Osaka Women's Marathon,29 JAN 2023,Yuki KARAMOTO,2:56:59
Osaka Women's Marathon,29 JAN 2023,Fumiko MIKI,2:57:00
Osaka Women's Marathon,29 JAN 2023,Minako TOYODA,2:57:02
Osaka Women's Marathon,29 JAN 2023,Ayaka NISHIDA,2:57:04
Osaka Women's Marathon,29 JAN 2023,Eri KATO,2:57:10
Osaka Women's Marathon,29 JAN 2023,Junko TOKUMOTO,2:57:10
Osaka Women's Marathon,29 JAN 2023,Mayumi OANA,2:57:12
Osaka Women's Marathon,29 JAN 2023,Nahoko NOGIWA,2:57:16
Osaka Women's Marathon,29 JAN 2023,Miyuki USUI,2:57:19
Osaka Women's Marathon,29 JAN 2023,Yoko MATSUMOTO,2:57:20
Osaka Women's Marathon,29 JAN 2023,Mika NAKAMURA,2:57:26
Osaka Women's Marathon,29 JAN 2023,Yuri TSUJINAKA,2:57:29
Osaka Women's Marathon,29 JAN 2023,Narumi KADO,2:57:34
Osaka Women's Marathon,29 JAN 2023,Midori KOIZUMI,2:57:39
Osaka Women's Marathon,29 JAN 2023,KONDO HITOMI,2:57:41
Osaka Women's Marathon,29 JAN 2023,Ayana YAMAZAKI,2:57:45
Osaka Women's Marathon,29 JAN 2023,Kyoko OTA,2:57:45
Osaka Women's Marathon,29 JAN 2023,Ako TAKIGAHIRA,2:57:58
Osaka Women's Marathon,29 JAN 2023,Miyuki KITAMURA,2:58:01
Osaka Women's Marathon,29 JAN 2023,Ayako HIRATA,2:58:13
Osaka Women's Marathon,29 JAN 2023,Keiko SHIMIZU,2:58:21
Osaka Women's Marathon,29 JAN 2023,Sachiko UETA,2:58:28
Osaka Women's Marathon,29 JAN 2023,Shoko HIRAGA,2:58:35
Osaka Women's Marathon,29 JAN 2023,Eri OBA,2:58:40
Osaka Women's Marathon,29 JAN 2023,Maya OTANI,2:59:02
Osaka Women's Marathon,29 JAN 2023,Hitomi AZUMA,2:59:04
Osaka Women's Marathon,29 JAN 2023,Aiko KANEMATSU,2:59:16
Osaka Women's Marathon,29 JAN 2023,Nanako TAKEDA,2:59:26
Osaka Women's Marathon,29 JAN 2023,Hisako ENOMOTO,2:59:30
Osaka Women's Marathon,29 JAN 2023,Yuka ITO,2:59:41
Osaka Women's Marathon,29 JAN 2023,Saori FUKUDA,2:59:42
Osaka Women's Marathon,29 JAN 2023,Chiaki OKABE,2:59:45
Osaka Women's Marathon,29 JAN 2023,Kyoko NAKAMURA,2:59:45
Osaka Women's Marathon,29 JAN 2023,Hiromi YONEDA,2:59:49
Osaka Women's Marathon,29 JAN 2023,Asuka WAKAYAMA,2:59:49
Osaka Women's Marathon,29 JAN 2023,Yui OSAWA,2:59:52
Osaka Women's Marathon,29 JAN 2023,Rina UCHINO,2:59:54
Osaka Women's Marathon,29 JAN 2023,Eri IWAKI,2:59:55
Osaka Women's Marathon,29 JAN 2023,Aiko SAGIMORI,2:59:57
Osaka Women's Marathon,29 JAN 2023,Misa AOKI,2:59:57
Osaka Women's Marathon,29 JAN 2023,Noriko HIGASHI,3:00:02
Osaka Women's Marathon,29 JAN 2023,Makiko IMADA,3:00:04
Osaka Women's Marathon,29 JAN 2023,Yuki OGAWA,3:00:08
Osaka Women's Marathon,29 JAN 2023,Atsumi NAKASHIMA,3:00:14
Osaka Women's Marathon,29 JAN 2023,Tamaki MIYACHI,3:00:15
Osaka Women's Marathon,29 JAN 2023,Saki WASHIMI,3:00:43
Osaka Women's Marathon,29 JAN 2023,Ayano IMAIZUMI,3:00:48
Osaka Women's Marathon,29 JAN 2023,Keiko TSURUYA,3:00:49
Osaka Women's Marathon,29 JAN 2023,Hiromi MASUDA,3:00:54
Osaka Women's Marathon,29 JAN 2023,Mai TAKETOMO,3:00:56
Osaka Women's Marathon,29 JAN 2023,Haruka SHIBATA,3:00:57
Osaka Women's Marathon,29 JAN 2023,Sachiko MIURA,3:00:59
Osaka Women's Marathon,29 JAN 2023,Manami KATO,3:01:09
Osaka Women's Marathon,29 JAN 2023,Etsuko ARAYAMA,3:01:14
Osaka Women's Marathon,29 JAN 2023,Ayumi SHIMOMURA,3:01:16
Osaka Women's Marathon,29 JAN 2023,Fueda MIKAKO,3:01:20
Osaka Women's Marathon,29 JAN 2023,Kaori SHINJO,3:01:26
Osaka Women's Marathon,29 JAN 2023,Sanae YABUTANI,3:01:28
Osaka Women's Marathon,29 JAN 2023,Yukino FUJITA,3:01:52
Osaka Women's Marathon,29 JAN 2023,Mikiko MIZUTANI,3:01:53
Osaka Women's Marathon,29 JAN 2023,Chiharu KIMURA,3:01:58
Osaka Women's Marathon,29 JAN 2023,Yukiko KASANO,3:02:05
Osaka Women's Marathon,29 JAN 2023,Masako NAKAMURA,3:02:07
Osaka Women's Marathon,29 JAN 2023,Aki NAKAMURA,3:02:14
Osaka Women's Marathon,29 JAN 2023,Natsumi YAMAUCHI,3:02:18
Osaka Women's Marathon,29 JAN 2023,Naomi SATO,3:02:22
Osaka Women's Marathon,29 JAN 2023,Miyuki NINOMIYA,3:02:31
Osaka Women's Marathon,29 JAN 2023,Naomi OBANA,3:02:32
Osaka Women's Marathon,29 JAN 2023,Asami MINAKAWA,3:02:37
Osaka Women's Marathon,29 JAN 2023,Shiori YAMADA,3:02:45
Osaka Women's Marathon,29 JAN 2023,Ikuko KONDO,3:02:47
Osaka Women's Marathon,29 JAN 2023,Ayumi NINOMIYA,3:02:49
Osaka Women's Marathon,29 JAN 2023,Wakana FUKUSHIMA,3:02:56
Osaka Women's Marathon,29 JAN 2023,Nami IWAHARA,3:03:12
Osaka Women's Marathon,29 JAN 2023,Takako FUKUDA,3:03:15
Osaka Women's Marathon,29 JAN 2023,Ami SHIMOMURA,3:03:22
Osaka Women's Marathon,29 JAN 2023,Saori HONDA,3:03:27
Osaka Women's Marathon,29 JAN 2023,Oshima KOZUE,3:03:29
Osaka Women's Marathon,29 JAN 2023,Momoko MOTOYAMA,3:03:33
Osaka Women's Marathon,29 JAN 2023,Natsumi MORI,3:03:37
Osaka Women's Marathon,29 JAN 2023,Ikue KUROSAWA,3:03:41
Osaka Women's Marathon,29 JAN 2023,Fumie KITAMURA,3:03:46
Osaka Women's Marathon,29 JAN 2023,Narumi ITAGAKI,3:03:47
Osaka Women's Marathon,29 JAN 2023,Chiho MATOBA,3:03:51
Osaka Women's Marathon,29 JAN 2023,Ayumi OTSUKA,3:03:52
Osaka Women's Marathon,29 JAN 2023,Mai OKADA,3:03:53
Osaka Women's Marathon,29 JAN 2023,Yurika KITAYA,3:03:59
Osaka Women's Marathon,29 JAN 2023,Sui OCHI,3:04:01
Osaka Women's Marathon,29 JAN 2023,Kazuko TAIRA,3:04:04
Osaka Women's Marathon,29 JAN 2023,Mariko HASHIMOTO,3:04:05
Osaka Women's Marathon,29 JAN 2023,Yuka KITAYAMA,3:04:09
Osaka Women's Marathon,29 JAN 2023,Chihiro KANEKO,3:04:19
Osaka Women's Marathon,29 JAN 2023,Kumi HASHIMOTO,3:04:20
Osaka Women's Marathon,29 JAN 2023,Erika HIRANO,3:04:20
Osaka Women's Marathon,29 JAN 2023,Yuko KINUGASA,3:04:22
Osaka Women's Marathon,29 JAN 2023,Yoko MISHIMA,3:04:26
Osaka Women's Marathon,29 JAN 2023,Megumi KODAMA,3:04:29
Osaka Women's Marathon,29 JAN 2023,Mina HASHIMOTO,3:04:31
Osaka Women's Marathon,29 JAN 2023,Naomi AIBARA,3:04:43
Osaka Women's Marathon,29 JAN 2023,Mioko MIYAMOTO,3:04:44
Osaka Women's Marathon,29 JAN 2023,Miki MITSUOKA,3:04:46
Osaka Women's Marathon,29 JAN 2023,Hodaka SHIMIZU,3:04:46
Osaka Women's Marathon,29 JAN 2023,Yoko YAMANAKA,3:04:50
Osaka Women's Marathon,29 JAN 2023,Shiori ASAI,3:04:54
Osaka Women's Marathon,29 JAN 2023,Aki KAWASHIMA,3:04:57
Osaka Women's Marathon,29 JAN 2023,Wakana ITSUKI,DNF
Osaka Women's Marathon,29 JAN 2023,Sayaka SATO,DNF
Osaka Women's Marathon,29 JAN 2023,Maurine CHEPKEMOI,DNF
Osaka Women's Marathon,29 JAN 2023,Margaret AKIDOR,DNF
Osaka Women's Marathon,29 JAN 2023,Reia IWADE,DNF
Osaka Women's Marathon,29 JAN 2023,Misato HORIE,DNF
Osaka Women's Marathon,29 JAN 2023,Dolphine Nyaboke OMARE,DNF
Osaka Women's Marathon,29 JAN 2023,Haruka YAMAGUCHI,DNF
Osaka Women's Marathon,29 JAN 2023,Momoko WATANABE,DNF
Osaka Women's Marathon,29 JAN 2023,Daisy CHEROTICH,DNF
